AIRPORT,Year,Month,INBOUND,OUTBOUND,TOTAL,INBOUND,OUTBOUND,TOTAL,INBOUND,OUTBOUND,Passengers
ADELAIDE,2009,1,259510.00,258122.00,517632.00,25145.00,19968.00,45113.00,284655.00,278090.00,562745.00
ADELAIDE,2009,2,234778.00,232142.00,466920.00,21389.00,14795.00,36184.00,256167.00,246937.00,503104.00
ADELAIDE,2009,3,280441.00,284820.00,565261.00,19466.00,18154.00,37620.00,299907.00,302974.00,602881.00
ADELAIDE,2009,4,274359.00,281163.00,555522.00,20087.00,21353.00,41440.00,294446.00,302516.00,596962.00
ADELAIDE,2009,5,258273.00,258930.00,517203.00,17085.00,19321.00,36406.00,275358.00,278251.00,553609.00
ADELAIDE,2009,6,242263.00,242610.00,484873.00,17680.00,19449.00,37129.00,259943.00,262059.00,522002.00
ADELAIDE,2009,7,269949.00,272217.00,542166.00,24152.00,21200.00,45352.00,294101.00,293417.00,587518.00
ADELAIDE,2009,8,269480.00,269355.00,538835.00,20859.00,19768.00,40627.00,290339.00,289123.00,579462.00
ADELAIDE,2009,9,264127.00,267734.00,531861.00,22039.00,22699.00,44738.00,286166.00,290433.00,576599.00
ADELAIDE,2009,10,284313.00,277153.00,561466.00,26544.00,20496.00,47040.00,310857.00,297649.00,608506.00
ADELAIDE,2009,11,264644.00,266874.00,531518.00,21906.00,21543.00,43449.00,286550.00,288417.00,574967.00
ADELAIDE,2009,12,262735.00,264356.00,527091.00,21402.00,24899.00,46301.00,284137.00,289255.00,573392.00
ADELAIDE,2010,1,260489.00,258574.00,519063.00,26569.00,22236.00,48805.00,287058.00,280810.00,567868.00
ADELAIDE,2010,2,251775.00,248044.00,499819.00,21576.00,16706.00,38282.00,273351.00,264750.00,538101.00
ADELAIDE,2010,3,292054.00,294892.00,586946.00,22086.00,20609.00,42695.00,314140.00,315501.00,629641.00
ADELAIDE,2010,4,290702.00,296008.00,586710.00,22393.00,23027.00,45420.00,313095.00,319035.00,632130.00
ADELAIDE,2010,5,269597.00,272381.00,541978.00,18231.00,21100.00,39331.00,287828.00,293481.00,581309.00
ADELAIDE,2010,6,260162.00,264413.00,524575.00,19742.00,21699.00,41441.00,279904.00,286112.00,566016.00
ADELAIDE,2010,7,293548.00,297128.00,590676.00,25332.00,21846.00,47178.00,318880.00,318974.00,637854.00
ADELAIDE,2010,8,283786.00,283560.00,567346.00,21613.00,21756.00,43369.00,305399.00,305316.00,610715.00
ADELAIDE,2010,9,282205.00,287767.00,569972.00,23201.00,22552.00,45753.00,305406.00,310319.00,615725.00
ADELAIDE,2010,10,313687.00,301158.00,614845.00,27111.00,19830.00,46941.00,340798.00,320988.00,661786.00
ADELAIDE,2010,11,283723.00,284665.00,568388.00,22317.00,21729.00,44046.00,306040.00,306394.00,612434.00
ADELAIDE,2010,12,292916.00,295017.00,587933.00,23166.00,25965.00,49131.00,316082.00,320982.00,637064.00
ADELAIDE,2011,1,275339.00,273902.00,549241.00,26556.00,22938.00,49494.00,301895.00,296840.00,598735.00
ADELAIDE,2011,2,253474.00,247288.00,500762.00,22587.00,17514.00,40101.00,276061.00,264802.00,540863.00
ADELAIDE,2011,3,293734.00,295355.00,589089.00,21787.00,21351.00,43138.00,315521.00,316706.00,632227.00
ADELAIDE,2011,4,282981.00,286574.00,569555.00,22983.00,25799.00,48782.00,305964.00,312373.00,618337.00
ADELAIDE,2011,5,273748.00,274350.00,548098.00,21287.00,24027.00,45314.00,295035.00,298377.00,593412.00
ADELAIDE,2011,6,237077.00,237976.00,475053.00,21671.00,22929.00,44600.00,258748.00,260905.00,519653.00
ADELAIDE,2011,7,273786.00,277032.00,550818.00,28138.00,25253.00,53391.00,301924.00,302285.00,604209.00
ADELAIDE,2011,8,263100.00,263060.00,526160.00,25653.00,24324.00,49977.00,288753.00,287384.00,576137.00
ADELAIDE,2011,9,262527.00,261455.00,523982.00,25906.00,25166.00,51072.00,288433.00,286621.00,575054.00
ADELAIDE,2011,10,278028.00,273082.00,551110.00,28930.00,23095.00,52025.00,306958.00,296177.00,603135.00
ADELAIDE,2011,11,264907.00,266632.00,531539.00,24604.00,23324.00,47928.00,289511.00,289956.00,579467.00
ADELAIDE,2011,12,262361.00,260566.00,522927.00,26035.00,31216.00,57251.00,288396.00,291782.00,580178.00
ADELAIDE,2012,1,258727.00,260757.00,519484.00,34486.00,27251.00,61737.00,293213.00,288008.00,581221.00
ADELAIDE,2012,2,250287.00,241533.00,491820.00,26957.00,20520.00,47477.00,277244.00,262053.00,539297.00
ADELAIDE,2012,3,277032.00,282302.00,559334.00,25746.00,25886.00,51632.00,302778.00,308188.00,610966.00
ADELAIDE,2012,4,264048.00,267193.00,531241.00,25399.00,26317.00,51716.00,289447.00,293510.00,582957.00
ADELAIDE,2012,5,261753.00,264360.00,526113.00,20661.00,24575.00,45236.00,282414.00,288935.00,571349.00
ADELAIDE,2012,6,243743.00,249972.00,493715.00,23206.00,26101.00,49307.00,266949.00,276073.00,543022.00
ADELAIDE,2012,7,275669.00,269885.00,545554.00,31466.00,24802.00,56268.00,307135.00,294687.00,601822.00
ADELAIDE,2012,8,263168.00,265243.00,528411.00,24624.00,24733.00,49357.00,287792.00,289976.00,577768.00
ADELAIDE,2012,9,269802.00,270676.00,540478.00,27126.00,27912.00,55038.00,296928.00,298588.00,595516.00
ADELAIDE,2012,10,287626.00,281100.00,568726.00,30722.00,22970.00,53692.00,318348.00,304070.00,622418.00
ADELAIDE,2012,11,285081.00,283544.00,568625.00,28453.00,30172.00,58625.00,313534.00,313716.00,627250.00
ADELAIDE,2012,12,271564.00,271750.00,543314.00,31996.00,37996.00,69992.00,303560.00,309746.00,613306.00
ADELAIDE,2013,1,262467.00,266159.00,528626.00,39912.00,30336.00,70248.00,302379.00,296495.00,598874.00
ADELAIDE,2013,2,245055.00,237296.00,482351.00,32894.00,25038.00,57932.00,277949.00,262334.00,540283.00
ADELAIDE,2013,3,282049.00,284894.00,566943.00,30633.00,30591.00,61224.00,312682.00,315485.00,628167.00
ADELAIDE,2013,4,280700.00,287113.00,567813.00,30059.00,33507.00,63566.00,310759.00,320620.00,631379.00
ADELAIDE,2013,5,259610.00,263814.00,523424.00,25232.00,29676.00,54908.00,284842.00,293490.00,578332.00
ADELAIDE,2013,6,249959.00,247004.00,496963.00,27642.00,30977.00,58619.00,277601.00,277981.00,555582.00
ADELAIDE,2013,7,285287.00,290626.00,575913.00,38906.00,33858.00,72764.00,324193.00,324484.00,648677.00
ADELAIDE,2013,8,269836.00,269808.00,539644.00,33245.00,31092.00,64337.00,303081.00,300900.00,603981.00
ADELAIDE,2013,9,272655.00,272652.00,545307.00,34517.00,35056.00,69573.00,307172.00,307708.00,614880.00
ADELAIDE,2013,10,306551.00,300868.00,607419.00,39954.00,28567.00,68521.00,346505.00,329435.00,675940.00
ADELAIDE,2013,11,279869.00,279000.00,558869.00,34066.00,34016.00,68082.00,313935.00,313016.00,626951.00
ADELAIDE,2013,12,291204.00,289813.00,581017.00,39818.00,49993.00,89811.00,331022.00,339806.00,670828.00
ADELAIDE,2014,1,277737.00,278835.00,556572.00,53530.00,41795.00,95325.00,331267.00,320630.00,651897.00
ADELAIDE,2014,2,253235.00,250818.00,504053.00,40484.00,29320.00,69804.00,293719.00,280138.00,573857.00
ADELAIDE,2014,3,287307.00,293996.00,581303.00,35407.00,35805.00,71212.00,322714.00,329801.00,652515.00
ADELAIDE,2014,4,283121.00,285267.00,568388.00,39176.00,42911.00,82087.00,322297.00,328178.00,650475.00
ADELAIDE,2014,5,266981.00,269417.00,536398.00,34798.00,39547.00,74345.00,301779.00,308964.00,610743.00
ADELAIDE,2014,6,260567.00,255415.00,515982.00,35861.00,44801.00,80662.00,296428.00,300216.00,596644.00
ADELAIDE,2014,7,284112.00,289631.00,573743.00,51507.00,44103.00,95610.00,335619.00,333734.00,669353.00
ADELAIDE,2014,8,280822.00,280400.00,561222.00,41013.00,39796.00,80809.00,321835.00,320196.00,642031.00
ADELAIDE,2014,9,276540.00,280913.00,557453.00,39785.00,40956.00,80741.00,316325.00,321869.00,638194.00
ADELAIDE,2014,10,319150.00,311531.00,630681.00,44279.00,35206.00,79485.00,363429.00,346737.00,710166.00
ADELAIDE,2014,11,279539.00,279238.00,558777.00,33966.00,35010.00,68976.00,313505.00,314248.00,627753.00
ADELAIDE,2014,12,295383.00,291644.00,587027.00,38989.00,49220.00,88209.00,334372.00,340864.00,675236.00
ADELAIDE,2015,1,271005.00,273323.00,544328.00,50816.00,40325.00,91141.00,321821.00,313648.00,635469.00
ADELAIDE,2015,2,255345.00,248620.00,503965.00,38274.00,30765.00,69039.00,293619.00,279385.00,573004.00
ADELAIDE,2015,3,291956.00,293217.00,585173.00,34114.00,36696.00,70810.00,326070.00,329913.00,655983.00
ADELAIDE,2015,4,291914.00,294232.00,586146.00,33223.00,37246.00,70469.00,325137.00,331478.00,656615.00
ADELAIDE,2015,5,270553.00,272195.00,542748.00,31243.00,36424.00,67667.00,301796.00,308619.00,610415.00
ADELAIDE,2015,6,252967.00,252494.00,505461.00,32695.00,37826.00,70521.00,285662.00,290320.00,575982.00
ADELAIDE,2015,7,296045.00,302047.00,598092.00,40295.00,36893.00,77188.00,336340.00,338940.00,675280.00
ADELAIDE,2015,8,282798.00,277223.00,560021.00,35798.00,34901.00,70699.00,318596.00,312124.00,630720.00
ADELAIDE,2015,9,279982.00,283113.00,563095.00,35418.00,35682.00,71100.00,315400.00,318795.00,634195.00
ADELAIDE,2015,10,315821.00,304706.00,620527.00,39982.00,32407.00,72389.00,355803.00,337113.00,692916.00
ADELAIDE,2015,11,296138.00,294450.00,590588.00,30136.00,30705.00,60841.00,326274.00,325155.00,651429.00
ADELAIDE,2015,12,298324.00,301313.00,599637.00,36126.00,43398.00,79524.00,334450.00,344711.00,679161.00
ADELAIDE,2016,1,282520.00,284142.00,566662.00,44890.00,39537.00,84427.00,327410.00,323679.00,651089.00
ADELAIDE,2016,2,267124.00,259758.00,526882.00,35415.00,29381.00,64796.00,302539.00,289139.00,591678.00
ADELAIDE,2016,3,305728.00,298866.00,604594.00,32873.00,33552.00,66425.00,338601.00,332418.00,671019.00
ADELAIDE,2016,4,291320.00,302867.00,594187.00,31541.00,36181.00,67722.00,322861.00,339048.00,661909.00
ADELAIDE,2016,5,281939.00,282036.00,563975.00,31336.00,37676.00,69012.00,313275.00,319712.00,632987.00
ADELAIDE,2016,6,269707.00,262566.00,532273.00,33289.00,39790.00,73079.00,302996.00,302356.00,605352.00
ADELAIDE,2016,7,300002.00,307952.00,607954.00,47258.00,43425.00,90683.00,347260.00,351377.00,698637.00
ADELAIDE,2016,8,284393.00,279860.00,564253.00,39027.00,40220.00,79247.00,323420.00,320080.00,643500.00
ADELAIDE,2016,9,293756.00,288573.00,582329.00,42085.00,41067.00,83152.00,335841.00,329640.00,665481.00
ADELAIDE,2016,10,317098.00,319192.00,636290.00,46341.00,35408.00,81749.00,363439.00,354600.00,718039.00
ADELAIDE,2016,11,304689.00,305932.00,610621.00,34776.00,36227.00,71003.00,339465.00,342159.00,681624.00
ADELAIDE,2016,12,304574.00,301400.00,605974.00,41707.00,51177.00,92884.00,346281.00,352577.00,698858.00
ADELAIDE,2017,1,292441.00,295396.00,587837.00,51344.00,42933.00,94277.00,343785.00,338329.00,682114.00
ADELAIDE,2017,2,265665.00,258284.00,523949.00,37838.00,30773.00,68611.00,303503.00,289057.00,592560.00
ADELAIDE,2017,3,309494.00,311591.00,621085.00,34763.00,36346.00,71109.00,344257.00,347937.00,692194.00
ADELAIDE,2017,4,294726.00,296413.00,591139.00,34119.00,39693.00,73812.00,328845.00,336106.00,664951.00
ADELAIDE,2017,5,285884.00,284998.00,570882.00,33197.00,37924.00,71121.00,319081.00,322922.00,642003.00
ADELAIDE,2017,6,273329.00,272795.00,546124.00,34097.00,39198.00,73295.00,307426.00,311993.00,619419.00
ADELAIDE,2017,7,308341.00,310767.00,619108.00,46589.00,43123.00,89712.00,354930.00,353890.00,708820.00
ADELAIDE,2017,8,289066.00,285877.00,574943.00,42160.00,40424.00,82584.00,331226.00,326301.00,657527.00
ADELAIDE,2017,9,296741.00,294811.00,591552.00,44410.00,42623.00,87033.00,341151.00,337434.00,678585.00
ADELAIDE,2017,10,327412.00,326148.00,653560.00,46426.00,36194.00,82620.00,373838.00,362342.00,736180.00
ADELAIDE,2017,11,316350.00,311569.00,627919.00,37547.00,36871.00,74418.00,353897.00,348440.00,702337.00
ADELAIDE,2017,12,318458.00,322403.00,640861.00,42206.00,52177.00,94383.00,360664.00,374580.00,735244.00
ADELAIDE,2018,1,300307.00,304558.00,604865.00,58412.00,47172.00,105584.00,358719.00,351730.00,710449.00
ADELAIDE,2018,2,276851.00,270512.00,547363.00,40981.00,32712.00,73693.00,317832.00,303224.00,621056.00
ADELAIDE,2018,3,320101.00,318876.00,638977.00,37451.00,40042.00,77493.00,357552.00,358918.00,716470.00
ADELAIDE,2018,4,311318.00,316660.00,627978.00,36246.00,41703.00,77949.00,347564.00,358363.00,705927.00
ADELAIDE,2018,5,294206.00,295304.00,589510.00,34981.00,39547.00,74528.00,329187.00,334851.00,664038.00
ADELAIDE,2018,6,279737.00,278632.00,558369.00,34610.00,43963.00,78573.00,314347.00,322595.00,636942.00
ADELAIDE,2018,7,318564.00,319765.00,638329.00,48394.00,42872.00,91266.00,366958.00,362637.00,729595.00
ADELAIDE,2018,8,303083.00,299851.00,602934.00,43581.00,43992.00,87573.00,346664.00,343843.00,690507.00
ADELAIDE,2018,9,300580.00,300750.00,601330.00,45590.00,43804.00,89394.00,346170.00,344554.00,690724.00
ADELAIDE,2018,10,329727.00,327636.00,657363.00,49784.00,38321.00,88105.00,379511.00,365957.00,745468.00
ADELAIDE,2018,11,317799.00,316175.00,633974.00,40957.00,41321.00,82278.00,358756.00,357496.00,716252.00
ADELAIDE,2018,12,309982.00,309368.00,619350.00,44574.00,54951.00,99525.00,354556.00,364319.00,718875.00
ADELAIDE,2019,1,293965.00,298986.00,592951.00,58221.00,49255.00,107476.00,352186.00,348241.00,700427.00
ADELAIDE,2019,2,278620.00,272735.00,551355.00,44990.00,35260.00,80250.00,323610.00,307995.00,631605.00
ADELAIDE,2019,3,314477.00,318070.00,632547.00,38857.00,39981.00,78838.00,353334.00,358051.00,711385.00
ADELAIDE,2019,4,315393.00,315365.00,630758.00,40996.00,46294.00,87290.00,356389.00,361659.00,718048.00
ADELAIDE,2019,5,294271.00,296479.00,590750.00,38454.00,43024.00,81478.00,332725.00,339503.00,672228.00
ADELAIDE,2019,6,279068.00,275957.00,555025.00,40583.00,47455.00,88038.00,319651.00,323412.00,643063.00
ADELAIDE,2019,7,321154.00,325056.00,646210.00,55934.00,49299.00,105233.00,377088.00,374355.00,751443.00
ADELAIDE,2019,8,310165.00,307344.00,617509.00,49885.00,49320.00,99205.00,360050.00,356664.00,716714.00
ADELAIDE,2019,9,308230.00,308039.00,616269.00,53080.00,51858.00,104938.00,361310.00,359897.00,721207.00
ADELAIDE,2019,10,345636.00,343411.00,689047.00,55867.00,43338.00,99205.00,401503.00,386749.00,788252.00
ADELAIDE,2019,11,320697.00,322044.00,642741.00,43856.00,43075.00,86931.00,364553.00,365119.00,729672.00
ADELAIDE,2019,12,311283.00,311134.00,622417.00,48765.00,60945.00,109710.00,360048.00,372079.00,732127.00
ADELAIDE,2020,1,294269.00,298774.00,593043.00,63966.00,53541.00,117507.00,358235.00,352315.00,710550.00
ADELAIDE,2020,2,275909.00,266178.00,542087.00,41150.00,30615.00,71765.00,317059.00,296793.00,613852.00
ADELAIDE,2020,3,192633.00,193960.00,386593.00,23735.00,18459.00,42194.00,216368.00,212419.00,428787.00
ADELAIDE,2020,4,5462.00,6383.00,11845.00,0.00,0.00,0.00,5462.00,6383.00,11845.00
ADELAIDE,2020,5,7273.00,8466.00,15739.00,0.00,0.00,0.00,7273.00,8466.00,15739.00
ADELAIDE,2020,6,12264.00,12993.00,25257.00,26.00,51.00,77.00,12290.00,13044.00,25334.00
ADELAIDE,2020,7,25774.00,27491.00,53265.00,350.00,313.00,663.00,26124.00,27804.00,53928.00
ADELAIDE,2020,8,36135.00,38427.00,74562.00,754.00,661.00,1415.00,36889.00,39088.00,75977.00
ADELAIDE,2020,9,49137.00,50346.00,99483.00,1123.00,590.00,1713.00,50260.00,50936.00,101196.00
ADELAIDE,2020,10,90979.00,90918.00,181897.00,1509.00,537.00,2046.00,92488.00,91455.00,183943.00
ADELAIDE,2020,11,70193.00,73760.00,143953.00,959.00,481.00,1440.00,71152.00,74241.00,145393.00
ADELAIDE,2020,12,112726.00,108004.00,220730.00,1429.00,710.00,2139.00,114155.00,108714.00,222869.00
ADELAIDE,2021,1,112901.00,120628.00,233529.00,2115.00,526.00,2641.00,115016.00,121154.00,236170.00
ADELAIDE,2021,2,97732.00,97565.00,195297.00,1919.00,459.00,2378.00,99651.00,98024.00,197675.00
ADELAIDE,2021,3,171916.00,171932.00,343848.00,2124.00,413.00,2537.00,174040.00,172345.00,346385.00
ADELAIDE,2021,4,226873.00,231100.00,457973.00,1798.00,439.00,2237.00,228671.00,231539.00,460210.00
ADELAIDE,2021,5,208206.00,212298.00,420504.00,2823.00,1464.00,4287.00,211029.00,213762.00,424791.00
ADELAIDE,2021,6,148588.00,149609.00,298197.00,3040.00,1642.00,4682.00,151628.00,151251.00,302879.00
ADELAIDE,2021,7,65265.00,66156.00,131421.00,2816.00,2120.00,4936.00,68081.00,68276.00,136357.00
ADELAIDE,2021,8,39127.00,39952.00,79079.00,1063.00,871.00,1934.00,40190.00,40823.00,81013.00
ADELAIDE,2021,9,78689.00,81802.00,160491.00,1173.00,681.00,1854.00,79862.00,82483.00,162345.00
ADELAIDE,2021,10,93731.00,91605.00,185336.00,1152.00,835.00,1987.00,94883.00,92440.00,187323.00
ADELAIDE,2021,11,116813.00,113929.00,230742.00,1180.00,1299.00,2479.00,117993.00,115228.00,233221.00
ADELAIDE,2021,12,152001.00,142689.00,294690.00,937.00,2799.00,3736.00,152938.00,145488.00,298426.00
ADELAIDE,2022,1,127555.00,129736.00,257291.00,4211.00,3718.00,7929.00,131766.00,133454.00,265220.00
ADELAIDE,2022,2,138158.00,134762.00,272920.00,7289.00,4956.00,12245.00,145447.00,139718.00,285165.00
ADELAIDE,2022,3,222888.00,220124.00,443012.00,7098.00,8046.00,15144.00,229986.00,228170.00,458156.00
ADELAIDE,2022,4,281960.00,284961.00,566921.00,10306.00,12112.00,22418.00,292266.00,297073.00,589339.00
ADELAIDE,2022,5,268778.00,265119.00,533897.00,12693.00,12808.00,25501.00,281471.00,277927.00,559398.00
ADELAIDE,2022,6,263202.00,258308.00,521510.00,13847.00,17516.00,31363.00,277049.00,275824.00,552873.00
ADELAIDE,2022,7,287105.00,291796.00,578901.00,22259.00,22240.00,44499.00,309364.00,314036.00,623400.00
ADELAIDE,2022,8,269233.00,261865.00,531098.00,21150.00,20231.00,41381.00,290383.00,282096.00,572479.00
ADELAIDE,2022,9,276769.00,271841.00,548610.00,23363.00,22819.00,46182.00,300132.00,294660.00,594792.00
ADELAIDE,2022,10,304480.00,300696.00,605176.00,25603.00,22827.00,48430.00,330083.00,323523.00,653606.00
ADELAIDE,2022,11,289145.00,290101.00,579246.00,26291.00,25667.00,51958.00,315436.00,315768.00,631204.00
ADELAIDE,2022,12,286051.00,282226.00,568277.00,28493.00,34434.00,62927.00,314544.00,316660.00,631204.00
ADELAIDE,2023,1,274435.00,279785.00,554220.00,41237.00,34113.00,75350.00,315672.00,313898.00,629570.00
ADELAIDE,2023,2,255626.00,250364.00,505990.00,30587.00,24931.00,55518.00,286213.00,275295.00,561508.00
ADELAIDE,2023,3,310519.00,306729.00,617248.00,33742.00,30455.00,64197.00,344261.00,337184.00,681445.00
ADELAIDE,2023,4,299384.00,301115.00,600499.00,36738.00,38284.00,75022.00,336122.00,339399.00,675521.00
ADELAIDE,2023,5,296058.00,291446.00,587504.00,31211.00,33022.00,64233.00,327269.00,324468.00,651737.00
ADELAIDE,2023,6,272888.00,275630.00,548518.00,31799.00,35432.00,67231.00,304687.00,311062.00,615749.00
ADELAIDE,2023,7,299971.00,306821.00,606792.00,45312.00,40896.00,86208.00,345283.00,347717.00,693000.00
ADELAIDE,2023,8,299771.00,293865.00,593636.00,36548.00,33483.00,70031.00,336319.00,327348.00,663667.00
ADELAIDE,2023,9,297536.00,300179.00,597715.00,39684.00,37768.00,77452.00,337220.00,337947.00,675167.00
ADELAIDE,2023,10,331244.00,327522.00,658766.00,44490.00,35907.00,80397.00,375734.00,363429.00,739163.00
ADELAIDE,2023,11,317671.00,320807.00,638478.00,36152.00,34700.00,70852.00,353823.00,355507.00,709330.00
ADELAIDE,2023,12,306084.00,300922.00,607006.00,41665.00,52958.00,94623.00,347749.00,353880.00,701629.00
ADELAIDE,2024,1,298535.00,303488.00,602023.00,59785.00,42023.00,101808.00,358320.00,345511.00,703831.00
ADELAIDE,2024,2,293471.00,285493.00,578964.00,37176.00,29696.00,66872.00,330647.00,315189.00,645836.00
ADELAIDE,2024,3,320056.00,311979.00,632035.00,33433.00,35570.00,69003.00,353489.00,347549.00,701038.00
ADELAIDE,2024,4,320260.00,331591.00,651851.00,40476.00,41307.00,81783.00,360736.00,372898.00,733634.00
ADELAIDE,2024,5,290654.00,292244.00,582898.00,35227.00,37267.00,72494.00,325881.00,329511.00,655392.00
ADELAIDE,2024,6,271998.00,275389.00,547387.00,37588.00,42099.00,79687.00,309586.00,317488.00,627074.00
ADELAIDE,2024,7,309997.00,310862.00,620859.00,47983.00,43207.00,91190.00,357980.00,354069.00,712049.00
ADELAIDE,2024,8,301159.00,297791.00,598950.00,36769.00,36542.00,73311.00,337928.00,334333.00,672261.00
ADELAIDE,2024,9,303309.00,304488.00,607797.00,36630.00,36812.00,73442.00,339939.00,341300.00,681239.00
ADELAIDE,2024,10,340774.00,335237.00,676011.00,40835.00,35579.00,76414.00,381609.00,370816.00,752425.00
ADELAIDE,2024,11,323664.00,323699.00,647363.00,40857.00,41848.00,82705.00,364521.00,365547.00,730068.00
ADELAIDE,2024,12,320167.00,320888.00,641055.00,44204.00,51530.00,95734.00,364371.00,372418.00,736789.00
ADELAIDE,2025,1,310370.00,308403.00,618773.00,57473.00,49001.00,106474.00,367843.00,357404.00,725247.00
ADELAIDE,2025,2,281456.00,272438.00,553894.00,43742.00,35612.00,79354.00,325198.00,308050.00,633248.00
ADELAIDE,2025,3,316986.00,315084.00,632070.00,38869.00,39156.00,78025.00,355855.00,354240.00,710095.00
ADELAIDE,2025,4,318158.00,321469.00,639627.00,42042.00,48663.00,90705.00,360200.00,370132.00,730332.00
ADELAIDE,2025,5,292242.00,292405.00,584647.00,44413.00,46353.00,90766.00,336655.00,338758.00,675413.00
ADELAIDE,2025,6,281379.00,281662.00,563041.00,42945.00,48625.00,91570.00,324324.00,330287.00,654611.00
BALLINA,2009,1,15908.00,17145.00,33053.00,0.00,0.00,0.00,15908.00,17145.00,33053.00
BALLINA,2009,2,14005.00,14383.00,28388.00,0.00,0.00,0.00,14005.00,14383.00,28388.00
BALLINA,2009,3,15057.00,15227.00,30284.00,0.00,0.00,0.00,15057.00,15227.00,30284.00
BALLINA,2009,4,14106.00,14505.00,28611.00,0.00,0.00,0.00,14106.00,14505.00,28611.00
BALLINA,2009,5,12974.00,13013.00,25987.00,0.00,0.00,0.00,12974.00,13013.00,25987.00
BALLINA,2009,6,12333.00,11927.00,24260.00,0.00,0.00,0.00,12333.00,11927.00,24260.00
BALLINA,2009,7,13878.00,14196.00,28074.00,0.00,0.00,0.00,13878.00,14196.00,28074.00
BALLINA,2009,8,10524.00,10682.00,21206.00,0.00,0.00,0.00,10524.00,10682.00,21206.00
BALLINA,2009,9,11389.00,10984.00,22373.00,0.00,0.00,0.00,11389.00,10984.00,22373.00
BALLINA,2009,10,12826.00,12747.00,25573.00,0.00,0.00,0.00,12826.00,12747.00,25573.00
BALLINA,2009,11,12736.00,12491.00,25227.00,0.00,0.00,0.00,12736.00,12491.00,25227.00
BALLINA,2009,12,12602.00,12676.00,25278.00,0.00,0.00,0.00,12602.00,12676.00,25278.00
BALLINA,2010,1,12345.00,13148.00,25493.00,0.00,0.00,0.00,12345.00,13148.00,25493.00
BALLINA,2010,2,10903.00,10929.00,21832.00,0.00,0.00,0.00,10903.00,10929.00,21832.00
BALLINA,2010,3,11282.00,11338.00,22620.00,0.00,0.00,0.00,11282.00,11338.00,22620.00
BALLINA,2010,4,10375.00,10614.00,20989.00,0.00,0.00,0.00,10375.00,10614.00,20989.00
BALLINA,2010,5,9295.00,9346.00,18641.00,0.00,0.00,0.00,9295.00,9346.00,18641.00
BALLINA,2010,6,8547.00,8531.00,17078.00,0.00,0.00,0.00,8547.00,8531.00,17078.00
BALLINA,2010,7,10340.00,10053.00,20393.00,0.00,0.00,0.00,10340.00,10053.00,20393.00
BALLINA,2010,8,10601.00,10387.00,20988.00,0.00,0.00,0.00,10601.00,10387.00,20988.00
BALLINA,2010,9,11961.00,11206.00,23167.00,0.00,0.00,0.00,11961.00,11206.00,23167.00
BALLINA,2010,10,12623.00,13407.00,26030.00,0.00,0.00,0.00,12623.00,13407.00,26030.00
